ID,STREET_NAME,X,Y,BUS_TRAM_NO
205401,"Ul./Pl.: Bysławska,",21.187404,52.156470,"['146', '213', 'N72']"
205402,"Ul./Pl.: Bysławska,",21.188915,52.156702,"['146', '213', 'N72']"
205501,"Ul./Pl.: Wał Miedzeszyński,",21.183030,52.155115,"['213', '702']"
205502,"Ul./Pl.: Wał Miedzeszyński,",21.181163,52.155860,"['146', '702', 'N72']"
205504,"Ul./Pl.: Bysławska,",21.183555,52.155727,"['146', '213', 'N72']"
205601,"Ul./Pl.: Wał Miedzeszyński,",21.187357,52.152343,"['213', '702']"
205602,"Ul./Pl.: Wał Miedzeszyński,",21.187206,52.152634,"['213', '702']"
205701,"Ul./Pl.: Wał Miedzeszyński,",21.188687,52.149595,['702']
205702,"Ul./Pl.: Wał Miedzeszyński,",21.188618,52.150146,['702']
205703,"Ul./Pl.: Wał Miedzeszyński,",21.188809,52.149861,['213']
205801,"Ul./Pl.: Marsa,",21.131730,52.239013,"['143', '145', '173', '183', '225', 'N02', 'N21', 'N24', 'N25', 'N71']"
205802,"Ul./Pl.: Marsa,",21.132515,52.238976,"['143', '145', '173', '183', '225', 'N02', 'N21', 'N24', 'N25', 'N71']"
205901,"Ul./Pl.: Marsa,",21.134678,52.241384,"['143', '145', '173', '183', '225', '402', '514', '520', 'N02', 'N21', 'N24', 'N25', 'N71']"
205902,"Ul./Pl.: Marsa,",21.136363,52.242112,"['143', '183', '514', 'N71']"
205904,"Ul./Pl.: Okularowa,",21.136160,52.241280,"['173', '402', '520', 'N02', 'N21', 'N25']"
205906,"Ul./Pl.: Chełmżyńska,",21.135268,52.242584,"['145', '225', 'N24']"
206001,"Ul./Pl.: Stepowa,",21.138850,52.238150,"['173', '402', '520', 'N02', 'N25', 'N71']"
206002,"Ul./Pl.: Stepowa,",21.138580,52.238463,"['173', '402', '520', 'N02', 'N21', 'N25']"
206101,"Ul./Pl.: Korkowa,",21.143060,52.237404,"['115', '173', '402', '520', 'N02', 'N25', 'N71', '115^']"
206102,"Ul./Pl.: Korkowa,",21.143153,52.237288,"['115', '173', '305', '402', '520', 'N02', 'N21', 'N25', '115^']"
206201,"Ul./Pl.: Korkowa,",21.147610,52.238333,"['115', '173', '402', '520', 'N02', 'N25', 'N71']"
206202,"Ul./Pl.: Korkowa,",21.149097,52.238496,"['115', '173', '305', '402', '520', 'N02', 'N21', 'N25']"
206302,"Ul./Pl.: Korkowa,",21.153387,52.239365,"['173', '305', '115', '402', '520', 'N02', 'N21', 'N25']"
206401,"Ul./Pl.: Korkowa,",21.155070,52.239788,"['115', '173', '402', '520', 'N02', 'N25', 'N71']"
206402,"Ul./Pl.: Korkowa,",21.156865,52.240019,"['115', '173', 'N21', '115^']"
206403,"Ul./Pl.: Korkowa,",21.155991,52.240382,"['520', 'N02', '520^']"
206404,"Ul./Pl.: Korkowa,",21.156066,52.240311,['402']
206405,"Ul./Pl.: Kościuszkowców,",21.156554,52.238650,"['115', '305', 'N25', '402^', '520^', '115^']"
206501,"Ul./Pl.: Korkowa,",21.161315,52.241048,"['115', '173', 'N71']"
206502,"Ul./Pl.: Korkowa,",21.160460,52.240746,"['115', '173', 'N21']"
206602,"Ul./Pl.: Korkowa,",21.165294,52.241733,"['115', '173', 'N21']"
206701,"Ul./Pl.: Marsa,",21.137612,52.243508,"['143', '183', 'N21']"
206702,"Ul./Pl.: Marsa,",21.139162,52.244231,"['183', 'N71']"
206704,"Ul./Pl.: Żołnierska,",21.138619,52.244729,['143']
206801,"Ul./Pl.: Marsa,",21.143405,52.248074,"['183', 'N21']"
206802,"Ul./Pl.: Marsa,",21.143191,52.247788,"['183', 'N71']"
206901,"Ul./Pl.: Marsa,",21.151553,52.252753,"['183', 'N21']"
206902,"Ul./Pl.: Marsa,",21.152318,52.253053,"['183', 'N71']"
207001,"Ul./Pl.: Marsa,",21.155678,52.255373,"['183', '514', 'N21']"
207002,"Ul./Pl.: Ilskiego,",21.156898,52.255724,"['115', '183', '514', 'N71']"
207003,"Ul./Pl.: Marsa,",21.156983,52.256217,"['115', '183']"
207005,"Ul./Pl.: al.gen.Chruściela,",21.159358,52.257891,"['115', '153^']"
207006,"Ul./Pl.: al.gen.Chruściela,",21.159645,52.257809,"['115', '153', '196', '153^']"
207008,"Ul./Pl.: Cyrulików,",21.160391,52.257331,"['153', '196', 'N24']"
207101,"Ul./Pl.: Chełmżyńska,",21.134134,52.244565,"['145', '225', 'N24']"
207201,"Ul./Pl.: Chełmżyńska,",21.132377,52.247719,"['145', '225', 'N24']"
207202,"Ul./Pl.: Chełmżyńska,",21.132761,52.247319,"['145', '225', 'N24']"
207301,"Ul./Pl.: Chełmżyńska,",21.128333,52.252812,"['145', '225', 'N24']"
207302,"Ul./Pl.: Chełmżyńska,",21.129519,52.251433,"['145', '225', 'N24']"
207401,"Ul./Pl.: Chełmżyńska,",21.127724,52.255003,"['145', '225', 'N24']"
207402,"Ul./Pl.: Chełmżyńska,",21.127621,52.255708,"['145', '225', 'N24']"
207501,"Ul./Pl.: Chełmżyńska,",21.126564,52.259624,['145']
207502,"Ul./Pl.: Chełmżyńska,",21.126643,52.259869,['145']
207503,"Ul./Pl.: Strażacka,",21.128278,52.258913,"['225', 'N24']"
207504,"Ul./Pl.: Strażacka,",21.128516,52.258781,"['225', 'N24']"
207506,"Ul./Pl.: Chełmżyńska,",21.127030,52.258020,['225']
207601,"Ul./Pl.: Chełmżyńska,",21.122074,52.264857,['145']
207602,"Ul./Pl.: Chełmżyńska,",21.121686,52.265812,['145']
207701,"Ul./Pl.: Chełmżyńska,",21.120793,52.267299,['145']
207702,"Ul./Pl.: Chełmżyńska,",21.120604,52.267951,['145']
207801,"Ul./Pl.: Chełmżyńska,",21.117689,52.273264,['145']
207802,"Ul./Pl.: Chełmżyńska,",21.117560,52.273851,['145']
207902,"Ul./Pl.: Floriana,",21.141250,52.225920,"['142', '702', 'N22']"
208001,"Ul./Pl.: Strażacka,",21.131535,52.258877,"['225', 'N24']"
208002,"Ul./Pl.: Strażacka,",21.132979,52.259067,"['225', 'N24']"
208101,"Ul./Pl.: Strażacka,",21.144844,52.260393,"['143', '225']"
208102,"Ul./Pl.: Strażacka,",21.144807,52.260305,"['143', '225', 'N24']"
208201,"Ul./Pl.: Strażacka,",21.154291,52.260065,"['143', '225']"
208202,"Ul./Pl.: Strażacka,",21.154918,52.259631,"['143', '225', 'N24']"
208301,"Ul./Pl.: al.gen.Chruściela,",21.161024,52.258893,"['115', '143', '153', '196', '225']"
208302,"Ul./Pl.: al.gen.Chruściela,",21.161824,52.259195,"['115', '143', '153', '196', '225']"
208401,"Ul./Pl.: Cyrulików,",21.166459,52.257109,"['153', '196']"
208402,"Ul./Pl.: Cyrulików,",21.165174,52.257101,"['153', '196', 'N24']"
208501,"Ul./Pl.: Cyrulików,",21.171964,52.256993,"['153', '196']"
208502,"Ul./Pl.: Cyrulików,",21.172653,52.256854,"['153', '196', 'N24']"
208601,"Ul./Pl.: Cyrulików,",21.177420,52.256990,"['N24', '143']"
208602,"Ul./Pl.: Cyrulików,",21.177167,52.256877,"['153', '196', '143^']"
208603,"Ul./Pl.: Cyrulików,",21.176381,52.256788,['196']
208701,"Ul./Pl.: al.gen.Chruściela,",21.163296,52.260529,"['115', '143', '196', '199', 'N24']"
208702,"Ul./Pl.: al.gen.Chruściela,",21.163533,52.260434,"['115', '143', '196', '199']"
208801,"Ul./Pl.: al.gen.Chruściela,",21.169116,52.264261,"['115', '143', '196', '199', 'N24']"
208802,"Ul./Pl.: al.gen.Chruściela,",21.169164,52.264042,"['115', '143', '196', '199']"
209001,"Ul./Pl.: Paderewskiego,",21.157175,52.263234,"['153', '199', '225']"
209002,"Ul./Pl.: Paderewskiego,",21.156924,52.263704,"['153', '199', '225', 'N24']"
209101,"Ul./Pl.: Paderewskiego,",21.153120,52.267940,"['153', '199', '225']"
209102,"Ul./Pl.: Paderewskiego,",21.154340,52.266849,"['153', '199', '225', 'N24']"
209201,"Ul./Pl.: Paderewskiego,",21.150859,52.269882,"['153', '199', '225']"
209202,"Ul./Pl.: Paderewskiego,",21.150526,52.270234,"['153', '199', '225', 'N24']"
209301,"Ul./Pl.: Czwartaków,",21.154250,52.271905,"['153', '225']"
209302,"Ul./Pl.: Czwartaków,",21.153683,52.271673,"['153', '225']"
209401,"Ul./Pl.: Czwartaków,",21.158345,52.273275,"['153', '225']"
209402,"Ul./Pl.: Czwartaków,",21.157950,52.273099,"['153', '225']"
209501,"Ul./Pl.: Czwartaków,",21.162278,52.274594,"['153', '225']"
209502,"Ul./Pl.: Czwartaków,",21.163110,52.274848,"['153', '225']"
209601,"Ul./Pl.: most Łazienkowski,",21.054205,52.226494,"['138^', '141', '143', '151', '182', '188', 'N25']"
209602,"Ul./Pl.: most Łazienkowski,",21.054690,52.226379,"['138', '141', '143', '151', '182', '188', 'N25']"
209701,"Ul./Pl.: al.Stanów Zjednoczonych,",21.061843,52.228421,"['141', '143', '151', '182', '188', '411', '502', '514', '520', '523', '525', 'N25', '138^']"
209702,"Ul./Pl.: al.Stanów Zjednoczonych,",21.063733,52.228669,"['141', '143', '151', '182', '188', '502', '514', '520', '523', '525', 'N25', '138^']"
209703,"Ul./Pl.: Saska,",21.063026,52.228554,"['111', '123', '147', '507', '509', 'N02', 'N22', 'N72']"
209704,"Ul./Pl.: Saska,",21.063089,52.228715,"['111', '123', '147', '507', '509', 'N02', 'N22', 'N72']"
209705,"Ul./Pl.: Saska,",21.063303,52.227910,['411']
209801,"Ul./Pl.: al.Stanów Zjednoczonych,",21.067275,52.229911,"['141', '143', '151', '182', '188', '502', '514', '520', '523', '525', 'N25']"
209802,"Ul./Pl.: al.Stanów Zjednoczonych,",21.068713,52.229970,"['141', '143', '151', '182', '188', '502', '514', '520', '523', '525', 'N25']"
209901,"Ul./Pl.: al.Stanów Zjednoczonych,",21.074920,52.233033,"['141', '143', '151', '182', '188', '502', '514', '520', '523', '525', 'N25']"
209902,"Ul./Pl.: al.Stanów Zjednoczonych,",21.075527,52.232940,"['151', '182', '502', '514', '520', '525', 'N25']"
210001,"Ul./Pl.: al.Stanów Zjednoczonych,",21.078458,52.235643,"['141', '143', '151', '182', '188', '502', '514', '520', '523', '525', 'N25']"
210004,"Ul./Pl.: al.Stanów Zjednoczonych,",21.078397,52.234721,"['151', '182', '502', '514', '520', '525', 'N25']"
210052,"Ul./Pl.: al.Stanów Zjednoczonych,",21.078370,52.235149,"['141', '143', '188', '523']"
210101,"Ul./Pl.: Ostrobramska,",21.088011,52.236216,"['158', '182', '502', '514', '520', '525', 'N25']"
210102,"Ul./Pl.: Ostrobramska,",21.088287,52.235955,"['158', '182', '502', '514', '520', '525', 'N25']"
210103,"Ul./Pl.: Poligonowa,",21.086211,52.235556,"['135', '151', '311']"
210104,"Ul./Pl.: Poligonowa,",21.086281,52.235301,"['135', '151', '311']"
210201,"Ul./Pl.: Ostrobramska,",21.098927,52.234785,"['502', '514', '520', '525', 'N25']"
210202,"Ul./Pl.: Ostrobramska,",21.098539,52.234511,"['168', '225', '502', '514', '520', '525', 'N02', 'N25']"
210203,"Ul./Pl.: Zamieniecka,",21.097620,52.235170,"['158', '182']"
210204,"Ul./Pl.: Zamieniecka,",21.098363,52.236196,"['123', '135', '148', '158', '182', 'N03']"
210205,"Ul./Pl.: Fieldorfa,",21.097184,52.234277,"['123', '135', '148', '168', '225', 'N02', 'N03']"
210301,"Ul./Pl.: Ostrobramska,",21.106703,52.233913,"['168', '225', '502', '514', '520', '525', 'N02', 'N25']"
210302,"Ul./Pl.: Ostrobramska,",21.108249,52.233406,"['168', '225', '502', '514', '520', '525', 'N02', 'N25']"
210401,"Ul./Pl.: Ostrobramska,",21.116666,52.232779,"['225', '502', '514', '520', '525', 'N02', 'N25']"
210402,"Ul./Pl.: Ostrobramska,",21.115207,52.232640,"['125^', '225', '502', '514', '520', '525', 'N02', 'N25', '525^']"
210403,"Ul./Pl.: Rodziewiczówny,",21.113371,52.233449,"['168', '520^']"
210501,"Ul./Pl.: Łukowska,",21.112945,52.236275,"['141', '182']"
210502,"Ul./Pl.: Łukowska,",21.112783,52.236283,"['168', '158']"
210503,"Ul./Pl.: Łukowska,",21.112402,52.236560,"['141^', '158^', '182^']"
210601,"Ul./Pl.: Łukowska,",21.104726,52.237096,"['141', '158', '182']"
210602,"Ul./Pl.: Łukowska,",21.106420,52.236720,"['141', '158', '182']"
210701,"Ul./Pl.: Zamieniecka,",21.099760,52.238634,"['123', '135', '148', 'N03']"
210702,"Ul./Pl.: Zamieniecka,",21.099511,52.238006,"['123', '135', '148', 'N03']"
210703,"Ul./Pl.: Łukowska,",21.100865,52.238056,"['141', '158', '182']"
210704,"Ul./Pl.: Łukowska,",21.100193,52.238134,"['141', '158', '182']"
210802,"Ul./Pl.: Chłopickiego,",21.106876,52.248050,['523']
210803,"Ul./Pl.: Chłopickiego,",21.107138,52.248326,['135']
210804,"Ul./Pl.: Chłopickiego,",21.107386,52.248585,['102']
210805,"Ul./Pl.: Chłopickiego,",21.107616,52.249017,"['102^', '135^', '523^']"
210901,"Ul./Pl.: Chłopickiego,",21.104807,52.245727,"['135', 'N21', 'N71']"
210902,"Ul./Pl.: Chłopickiego,",21.105816,52.246763,"['102', '135', '523']"
210903,"Ul./Pl.: Szaserów,",21.104760,52.246363,"['102', '188', '202', '523', 'N21', 'N71']"
210904,"Ul./Pl.: Szaserów,",21.105717,52.246038,"['188', '202', '188^']"
211001,"Ul./Pl.: Szaserów,",21.096958,52.248420,"['102', '188', '202', '523', 'N21', 'N71']"
211002,"Ul./Pl.: Szaserów,",21.098391,52.247932,"['102', '188', '202', '523', 'N21', 'N71']"
211101,"Ul./Pl.: Szaserów,",21.091443,52.249936,"['102', '188', '202', '523', 'N21', 'N71']"
211102,"Ul./Pl.: Szaserów,",21.092990,52.249420,"['102', '188', '202', '523', 'N21', 'N71']"
211201,"Ul./Pl.: Szaserów,",21.087528,52.250229,"['102', '188', '202', '523', 'N21', 'N71']"
211202,"Ul./Pl.: Szaserów,",21.089155,52.250082,"['102', '188', '202', '523', 'N21', 'N71']"
211301,"Ul./Pl.: Wiatraczna,",21.084233,52.248333,"['123', '173', '188', '523']"
211302,"Ul./Pl.: Wiatraczna,",21.084664,52.250823,['123']
211304,"Ul./Pl.: Szaserów,",21.085253,52.250251,"['102', '188', '202', '523', 'N21', 'N71']"
211401,"Ul./Pl.: Dwernickiego,",21.082555,52.250396,"['102', '173', '202', 'N21', 'N71']"
211402,"Ul./Pl.: Dwernickiego,",21.081900,52.250373,"['102', '173', '202', 'N21', 'N71']"
