LINE_NUMBER,FROM,TO,FROM_STREET_NAME,TO_STREET_NAME
713,500101,502106,"Połczyńska-parking P+R,","Fort Wola,"
713,502106,501106,"Fort Wola,","Cm.Wolski,"
714,615201,620801,"Koczargi Stare,                 KG 01      | 0| 0|                                               r","Podleśna,                       KG 01  NŻ  | 1| 1|                                               r"
714,620801,615301,"Podleśna,                       KG 01  NŻ  | 1| 1|                                               r","Akacjowa,                       KG 01  NŻ  | 2| 2|"
714,615301,682603,"Akacjowa,                       KG 01  NŻ  | 2| 2|","Przy Parku,                     LP 03  NŻ  | 3| 3|               Paschalisa-Jakubowicza,         r"
714,682603,682601,"Przy Parku,                     LP 03  NŻ  | 3| 3|               Paschalisa-Jakubowicza,         r","Przy Parku,                     LP 01  NŻ  | 4| 4|               Mościckiego,                    r"
714,682601,610801,"Przy Parku,                     LP 01  NŻ  | 4| 4|               Mościckiego,                    r","Lipków,                         LP 01  NŻ  | 5| 5|                                               r"
714,610801,610701,"Lipków,                         LP 01  NŻ  | 5| 5|                                               r","Mościckiego,                    LP 01  NŻ  | 6| 6|"
714,610701,614801,"Mościckiego,                    LP 01  NŻ  | 6| 6|","Osiedlowa,                      SB 01  NŻ  | 8| 8|                                               r"
714,614801,620001,"Osiedlowa,                      SB 01  NŻ  | 8| 8|                                               r","Thomme,                         SB 01  NŻ  | 9| 9|                                               r"
714,620001,614701,"Thomme,                         SB 01  NŻ  | 9| 9|                                               r","Wołodyjowskiego,                SB 01  NŻ  |10|10|               Rynek,                          r"
714,614701,611501,"Wołodyjowskiego,                SB 01  NŻ  |10|10|               Rynek,                          r","Rynek,                          SB 01      |12|12|               Sikorskiego,                                                                         |  |  |               Hubala-Dobrzańskiego,           r"
714,611501,617101,"Rynek,                          SB 01      |12|12|               Sikorskiego,                                                                         |  |  |               Hubala-Dobrzańskiego,           r","Cmentarz,                       SB 01  NŻ  |13|13|"
714,617101,617001,"Cmentarz,                       SB 01  NŻ  |13|13|","Reymonta,                       LT 01  NŻ  |14|14|                                               r"
714,617001,617201,"Reymonta,                       LT 01  NŻ  |14|14|                                               r","Janowskiego,                    LT 01  NŻ  |14|14|"
714,617201,513601,"Janowskiego,                    LT 01  NŻ  |14|14|","Hubala-Dobrzańskiego,"
714,513601,514701,"Hubala-Dobrzańskiego,","Zagłoby,"
714,514701,508301,"Zagłoby,","Groty,"
714,508301,501801,"Groty,","Fortowa,                        BŁ 01  NŻ  |17|18|               Graniczna,                      r"
714,501801,501701,"Fortowa,                        BŁ 01  NŻ  |17|18|               Graniczna,                      r","Niska,                          BŁ 01  NŻ  |18|19|               Przejazd,                                                                            |  |  |               Warszawska,                     r"
714,501701,514201,"Niska,                          BŁ 01  NŻ  |18|19|               Przejazd,                                                                            |  |  |               Warszawska,                     r","Blizne Łaszczyńskiego,          BŁ 01  NŻ  |19|21|"
714,514201,505003,"Blizne Łaszczyńskiego,          BŁ 01  NŻ  |19|21|","os.Górczewska,"
714,505003,505009,"os.Górczewska,","os.Górczewska,"
715,300918,301101,"Metro Wilanowska,","al.Lotników,"
715,301101,301201,"al.Lotników,","Wyścigi,"
715,301201,301301,"Wyścigi,","Poleczki,"
715,301301,301401,"Poleczki,","Grabów,"
715,301401,301501,"Grabów,","Sójki,"
715,301501,301601,"Sójki,","Żołny,"
715,301601,301701,"Żołny,","Bogatki,"
715,301701,301801,"Bogatki,","Łagiewnicka,"
715,301801,301901,"Łagiewnicka,","Pelikanów,"
715,301901,339502,"Pelikanów,","Farbiarska,"
715,339502,339602,"Farbiarska,","Jeziorki Płn.,"
715,339602,339802,"Jeziorki Płn.,","Kórnicka,"
715,339802,339902,"Kórnicka,","PKP Dawidy,"
715,339902,340702,"PKP Dawidy,","Dawidy,"
715,340702,417202,"Dawidy,","Baletowa,                       DW 02  NŻ  |21|29|               Długa,                          r"
715,417202,417101,"Baletowa,                       DW 02  NŻ  |21|29|               Długa,                          r","Długa,                          DW 01  NŻ  |22|30|"
715,417101,417301,"Długa,                          DW 01  NŻ  |22|30|","Łady-Szkoła,                    DB 01      |24|32|"
715,417301,417401,"Łady-Szkoła,                    DB 01      |24|32|","Łady,                           ŁD 01  NŻ  |25|33|"
715,417401,417501,"Łady,                           ŁD 01  NŻ  |25|33|","Nowy Podolszyn,                 PN 01  NŻ  |26|34|"
715,417501,417601,"Nowy Podolszyn,                 PN 01  NŻ  |26|34|","Podolszyn,                      PD 01      |27|36|"
715,417601,417502,"Podolszyn,                      PD 01      |27|36|","Nowy Podolszyn,                 PN 02  NŻ  |28|37|"
715,417502,417402,"Nowy Podolszyn,                 PN 02  NŻ  |28|37|","Łady,                           ŁD 02  NŻ  |29|39|"
715,417402,417302,"Łady,                           ŁD 02  NŻ  |29|39|","Łady-Szkoła,                    DB 02      |30|40|"
715,417302,417102,"Łady-Szkoła,                    DB 02      |30|40|","Długa,                          DW 02  NŻ  |32|42|               Warszawska,                     r"
715,417102,417002,"Długa,                          DW 02  NŻ  |32|42|               Warszawska,                     r","Spółdzielnia,                   DW 02      |33|43|"
715,417002,416902,"Spółdzielnia,                   DW 02      |33|43|","Objazdowa,                      JW 02      |36|46|                                               r"
715,416902,416802,"Objazdowa,                      JW 02      |36|46|                                               r","Promyka,                        JW 02      |37|47|"
715,416802,416702,"Promyka,                        JW 02      |37|47|","Rybie,                          RY 02      |39|49|"
715,416702,420602,"Rybie,                          RY 02      |39|49|","Stadion,                        RS 02      |40|50|               al.Krakowska,                   r"
715,420602,415701,"Stadion,                        RS 02      |40|50|               al.Krakowska,                   r","Sportowa,                       RS 01      |42|52|                                               r"
715,415701,415501,"Sportowa,                       RS 01      |42|52|                                               r","Młyn,                           RS 01      |44|54|"
715,415501,401901,"Młyn,                           RS 01      |44|54|","Na Skraju,"
715,401901,401801,"Na Skraju,","Stoicka,"
715,401801,401601,"Stoicka,","Szyszkowa,"
715,401601,401513,"Szyszkowa,","P+R Al.Krakowska,"
716,423502,423301,"Ogińskiego,                     PT 02      | 0| 0|                                               r","Toruńska,                       PT 01      | 2| 2|               al.Wojska Polskiego,            r"
716,423301,423201,"Toruńska,                       PT 01      | 2| 2|               al.Wojska Polskiego,            r","Dąbrowskiego,                   PT 01      | 3| 3|               Warszawska,                     r"
716,423201,423101,"Dąbrowskiego,                   PT 01      | 3| 3|               Warszawska,                     r","Traugutta,                      PT 01      | 4| 5|                                               r"
716,423101,423001,"Traugutta,                      PT 01      | 4| 5|                                               r","Kino Baśń,                      PT 01      | 5| 6|                                               r"
716,423001,422901,"Kino Baśń,                      PT 01      | 5| 6|                                               r","Lelewela,                       PT 01      | 6| 7|"
716,422901,433701,"Lelewela,                       PT 01      | 6| 7|","Henryka Brodatego,"
716,433701,422001,"Henryka Brodatego,","Władysława Hermana,"
716,422001,421901,"Władysława Hermana,","Śmigielska,"
716,421901,421801,"Śmigielska,","Lalki,"
716,421801,421701,"Lalki,","PKP Ursus,"
716,421701,421601,"PKP Ursus,","Ursus-Ratusz,"
716,421601,421501,"Ursus-Ratusz,","Przepiórki,"
716,421501,421403,"Przepiórki,","PKP Włochy,"
716,421403,421302,"PKP Włochy,","Wałowicka,"
716,421302,421202,"Wałowicka,","Parowcowa,"
716,421202,501201,"Parowcowa,","Ciepłownia Wola,"
716,501201,500101,"Ciepłownia Wola,","Połczyńska-parking P+R,"
716,500101,502106,"Połczyńska-parking P+R,","Fort Wola,"
716,502106,501108,"Fort Wola,","Cm.Wolski,"
717,423502,423301,"Ogińskiego,                     PT 02      | 0| 0|                                               r","Toruńska,                       PT 01      | 2| 2|               al.Wojska Polskiego,            r"
717,423301,423201,"Toruńska,                       PT 01      | 2| 2|               al.Wojska Polskiego,            r","Dąbrowskiego,                   PT 01      | 3| 3|                                               r"
717,423201,423103,"Dąbrowskiego,                   PT 01      | 3| 3|                                               r","Traugutta,                      PT 03      | 4| 4|               al.Tysiąclecia,                 r"
717,423103,423601,"Traugutta,                      PT 03      | 4| 4|               al.Tysiąclecia,                 r","Orzeszkowej,                    PT 01      | 6| 6|               al.Dwudziestolecia,                                                                  |  |  |               Al.Jerozolimskie,               r"
